RAISON_SOCIALE;SIGLE;NIU;ACTIVITE_PRINCIPALE;VENTE_BOISSON;REGIME;BOITE_POSTALE;TELEPHONE;FORME_JURIDIQUE;CRI;CENTRE_DE_RATTACHEMENT;REGION_ADMINISTRATIVE;DEPARTEMENT;VILLE;COMMUNE;QUARTIER;LIEUX_DIT;ETATNIU;IDCLASSE_ACTIVITE
Projet d’Appui à la Modernisation du Cadastre et du Climat des Affaires;PAMOCCA;M011100048554J;Développement du Climat des affaires;NON;HRI;1538;99  54 13 85            22 10 72 92;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Immeuble Intek;Bon NIU;039001
Projet d’Assainissement Liquide;Projet SAN-CAM;M051200046596D;Assainissement Liquide;NON;HRI;70;99 41 43 85                95 47 79 95             99 14 01 76;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Nouvelle route Bastos;Bon NIU;030002
Projet d'Appui à la Gestion de la Qualité du Cacao et des Cafés;PAGQ2C;M021412143095A;GESTION QUALITE CACAO CAFE;NON;HRI;2920;699 49 88 34;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Etoug-Ebe;Vers la Nouvelle Mairie;Bon NIU;001012
Projet d'Appui à la Lutte Antifongique dans les Filières Cacao et Café;PALAF2C;M081000040613L;Aide au Développement;NON;HRI;4000;222-31 84 17;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Vers rond point Région;Bon NIU;041002
Projet d'Appui à la Production et Diffusion du Matériel Végétal Cacao Café;PPDMVCC;M080800027568T;Diffusion du matériel cacao café;NON;HRI;2163;22 21 23 86;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;derrière Maison Radio;Bon NIU;001012
Projet d'Appui au Développement de la Microfinance Rurale;PADMIR;M060900036263W;Développement de la Microfinance;NON;HRI;4 770;75 50 68 72               98 00 30 91;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Descente Vallée;Bon NIU;036003
Projet d'Appui aux Investissements dans le Secteur de la Santé;PAISS;M030912197621F;Appui au Secteur de la santé;NON;HRI;645;22 22 35 03;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;041001
Projet d'Assainissement de Yaoundé;CEP PADY 2;M091312197628J;Assainissement de Yaoundé;NON;HRI;13799;222 01 21 74;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Vers la Mairie Ydé 7;Bon NIU;030003
Projet de Construction de l'Hôpital Gynéco-Obstétrique et Pédiatrique de Douala;Projet HGOPY Douala;M090700037024L;Construction et Equipement de HGOPY de Douala;NON;HRI;70;78 81 06 36;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Messa;Hygiène mobile;Bon NIU;031001
Projet de Construction des Centres de Santé Intégrés;BADEA;M110900043339N;Construction des Centres de santé;NON;HRI;1982;22 23 30 20          94 63 81 48                77 40 41 80;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;MINSANTE;Bon NIU;031001
Projet de Construction PONT MAPE;PONT MAPE;M041112378478U;Projet Routier;NON;HRI;35541;677 611 604;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Vers Ambassade Suisse;Bon NIU;039001
Projet de Développement des Secteurs Urbains et d’Approvisionnement en Eau;PDUE;M110700036031P;Approvisionnement en eau;NON;HRI;615;22 81 17 71                  22 02 97 34            22 23 39 85;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Immeuble de l'emergence;Bon NIU;030001
Projet de Développement du Secteur de l'Energie;PDSEN-AER;M100800041769E;Développement du Secteur de l'energie;NON;HRI;30 704;22 20 39 82               99 61 39 36;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Bastos;Avant SONEL Nlongkak descente route DGE;Bon NIU;038006
Projet de Développement du Secteur de l'Energie-MINEE;PDSEN-MINEE;M100812352127J;Développement du Secteur de l'Energie;NON;HRI;615;677 09 09 24  675 28 19 55;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 6;Melen;Immeuble des Verres vers Fin barrière GP;Bon NIU;038006
Projet de l'Enseignement Secondaire Technique;UG-PEST;M051100047029P;Suivi Evaluation du Projet;NON;HRI;16 044;22 20 10 14             99 93 89 37                               74 72 70 69;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Nkolbissong;Lycée Technique;Bon NIU;039001
Projet de Lutte contre les Grands Fléaux Vivriers;PLGFV;M090200047026Z;Lutte contre les Grands Fléaux;NON;HRI;7 079;77 65 35 00               22 21 81 15;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Immeuble CNR;Bon NIU;039001
Projet de Mise en Place des Centres de Formation aux Métiers,offrant des Formations non agricoles en Milieu Rural;C2D/FM;M111200048663G;Conseil Centre Formation aux Metiers;NON;HRI;145;77 79 19 00;op;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Avant carrefour Nlongkak immeuble MIMCH;Bon NIU;038006
Projet de Mise en Place des Centres de Formation Professionnelle Sectoriel;C2D-CFPS;M121412489190P;Conseil Centre Formation aux Metiers;NON;HRI;16273;677 79 19 00;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Avant cerrefour Nlongkak immeuble MIMCH;Bon NIU;038006
Projet de Réhabilitation des Séchoirs de Cacao;PRSC;M101310973052K;SECHOIR CACAO;NON;HRI;4000;699 41 43 85;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Derrière MINADER;Bon NIU;001012
Projet de Renforcement  des Capacités du Secteur Minier;PRECASEM;M071100039273R;RENFOrcement des Capacités;NON;HRI;15620;22 21 72 05                96 09 38 02           73 90 12 35;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Route Dragages;avant SNH;Bon NIU;039001
Projet d'Exécution du Projet de Construction et d'Equipement Hopital de Référence de Sangmélima;CEPCEHRS;M010400025655H;Construction de l'Hopital de référence de sangmélima;NON;HRI;4180;222 20 34 18;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Mballa 2;Avant Morgue Hôpital Jamot;Bon NIU;031001
Projet d'Investissement et de Développement des Marchés Agricoles;PIDMA;M031300047537R;Développement des Marchés Agricoles;NON;HRI;2920;222 22 73 25;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Bastos;Eglise orthodoxe montée ambassade de suisse et de Corée;Bon NIU;001012
Projet Education II;PE II;M030000012617Q;Promotion de l'éducation;NON;HRI;1 600;95 00 02 08;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Nkolbisson;Lycée Technique;Bon NIU;040000
Projet Fer de MBALLAM;Projet Fer de MBALLAM;M021200046873R;Pilotage du Projet;NON;HRI;15620;95 42 42 67;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Batiment annexe Primature;Bon NIU;039001
Projet Intégré d'Appui aux Acteurs du Secteur Informel;PIAASI;M020200047027F;Formation Professionnelle;NON;HRI;131;99 56 40 77;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 2;Nkoleton;Après le marché à gauche;Bon NIU;040000
Projet NGOYLA MINTOM MINFOF-GEF;PNM;M041300046446F;Gestion des Ressources Naturelles du Massif NGOYLA MINTOM;NON;HRI;4 982;22 61 20 57                       22 84 64 16                                                     76;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Après la Maison du Combattant;Bon NIU;003003
Projet Port en Eau Profonde de Kribi;PEPK;M070800035728B;Projet de Construction du port de Kribi;NON;HRI;1 450;77 11 88 78                 77 66 90 82;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Poste Centrale;Immeuble Djeuga 15 étage;Bon NIU;039001
Projet Semencier Cacao-Café;PSCC;M059100020526J;Agriculture;NON;HRI;2163;75 15 59 91             94 58 38 45            22 21 23 86;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Nlongkak;Face DGSN rroute OAPI;Bon NIU;001011
Recensement General de l Agriculture et de l Elevage;RGAE;M061512570042T;Recensement;NON;HRI;;222234507;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 7;Bastos;Nouvelle route Bastos;Bon NIU;038003
Sécrétariat National Permanent du Processus de Kimberley;KIMBERLEY PROCESS;M111112244706J;Authentification des Diamants Bruts;NON;HRI;35601;222 22 84 12;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre ville;Primature;Bon NIU;043000
SENAT;SENAT;M019612089506Q;Legislation et contrôle;NON;HRI;6709;675 88 20 51;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Dragages;Immeuble ARMP;Bon NIU;039001
Société de Développement du Cacao;SODECAO;M027400004948X;Développement du cacao;NON;HRI;1651;99 21 47 55              22 23 97 51               22 30 45 44;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 4;Ndamvout;Derrière les Brasseries;Bon NIU;001012
Société de Développement et d’Exploitation des Productions Animales;SODEPA;M037400008375S;Transformation des produits animaliers;NON;HRI;1 410;22 20 08 10                77 82 98 19           90 37 95 96;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 5;Quartier Fouda;Face école publique de Mfandena descente au fond;Bon NIU;007001
Société de Recouvrement de Créances;SRC;M088900015678M;Recouvrement des créances de l'Etat;NON;HRI;11991;22 22 09 11;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre Ville;A côté immeuble SNI;Bon NIU;039001
Sociéte Immobilière du Cameroun;SIC;M015200001955S;Logement,Hébergement des Habitats à Loyers Modérés;NON;HRI;387;22 23 34 11                 78 74 62 32            99 80 85 22               95 23 44 85;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Hyppodrome;Face la Standard Chartered Bank;Bon NIU;033001
Societe Natioanale de Transport de l Electricite;SONATREL;M101512487290K;Transport de l energie;NON;HRI;16102;222225355;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 1;Centre administratif;Immeuble Intek;Bon NIU;029001
Université de Yaoundé 1 et ses Démembrements;UY1;M019300011516B;Enseignement et formation;NON;HRI;16578;22 23 03 87               22 04 55 92;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE 3;Ngoa-Ekelle;campus universitaire;Bon NIU;040000
Université de Yaoundé II SOA;UYII SOA;M019300006701Q;Enseignement et formation;NON;HRI;7171;699 96 13 15;EPA;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;Mefou et Afamba;SOA;SOA;SOA;Campus universitaire;Bon NIU;040000
World Wide Fund;WWF;M019200010509L;Protection de l'environnement;NON;HRI;6776;699503621;OP;CRI CENTRE 1;CSI EPA CTD OM;CENTRE;MFOUNDI;YAOUNDE;YAOUNDE1;Bastos;Nouvelle route Bastos;Bon NIU;041002
