"#","Nom","Sigle","Secteur","Pays","Administrateur","Actions"
"555","BANQUE INTERNATIONALE DU CAMEROUN POUR L'EPARGNE ET LE CREDIT","BICEC","Bank","Cameroun","",""
"556","KING BAY CENTER S.A","KBC S.A","Miscellaneous","Gabon","",""
"557","DJILO NGASSOP IRENE","","Government & public sector","Cameroun","DJILO NGASSOP IRENE",""
"558","SHOW OFF SARL","","Other industry","Cameroun","TOKA Gislaine",""
"559","CIA CAPITAL INVEST","","Other Financial services","Cote d'Ivoire","KACOU NEUBA Isidore",""
"560","AMT CAMEROUN S.A","","Miscellaneous","Cameroun","Marcel BUERGI",""
"561","DJOUFACK NGOUNE SUZANNE","","Transport & leisure","Cameroun","DJOUFACK NGOUNE Suzanne",""
"562","DJOUFACK NGOUNE SUZANNE","","Transport & leisure","Cameroun","DJOUFACK NGOUNE Suzanne",""
"563","JOCCIDALO PETROLEUM","","Energy and Oil & Gas","Cameroun","Olivier SABOCK",""
"564","TCHARITRANS","","Miscellaneous","Cameroun","Mahamat MOUSSA HASSANE",""
"565","KRIEGER BREWERY COMPANY PLC","KBC PLC","Industrial manufacturing","Cameroun","Dynamic BEYONGO MUKETE",""
"566","3S MOTORS","3S M","Other industry","Cameroun","KEVIN FOSSO",""
"567","TOTAL ENERGIES","","Energy and Oil & Gas","Cameroun","NYEBEL Samuel",""
"568","Pari Mutuel Urbain Camerounais","PMUC","Other industry","Cameroun","",""
"569","SOCIETE DES EAUX MINERALES DU CAMEROUN","SEMC","Climate change/Water","Cameroun","",""
"570","LOMAR TRANSIT","","Miscellaneous","Cameroun","MBASSI MAX",""
"571","LOMAR TRANSIT","","Miscellaneous","Cameroun","MBASSI MAX",""
"572","MAYA CAM (quincaillerie MBOPPI)","","Consumer markets","Cameroun","Mr. ERNEST",""
"573","GRAND ZONG SARL","","Consumer markets","Cameroun","Mr. GARIEL",""
"574","SON ET IMAGE","","Consumer markets","Cameroun","SADIFFO Michel",""
"575","STANDART MARKET","","Consumer markets","Cameroun","",""
"576","SAPRES SARL","","Consumer markets","Cameroun","",""
"577","FRIPPERIE MBOPPI (BOUTIQUE N°1)","","Consumer markets","Cameroun","Mr. DJAMEN",""
"578","FRIPPERIE MBOPPI (BOUTIQUE N°2)","","Consumer markets","Cameroun","Mr. KAMDEM Romain",""
"579","FRIPPERIE MBOPPI (BOUTIQUE N°3)","","Consumer markets","Cameroun","Mr. BANKOP Serge",""
"580","FRIPPERIE MBOPPI(BOUTIQUE N°4)","","Consumer markets","Cameroun","Mr. KARIM",""
"581","FRIPPERIE MBOPPI (BOUTIQUE N°5)","","Consumer markets","Cameroun","Mr. TALLA",""
"582","FRIPPERIE MBOPPI(BOUTIQUE N°6)","","Consumer markets","Cameroun","Mr. Fabrice",""
"583","FRIPPERIE MBOPPI(BOUTIQUE N°7)","","Consumer markets","Cameroun","",""
"584","CAMUSAT CAMEROUN","","Other industry","Cameroun","",""
"585","SAVANAH OIL SERVICES CAM","","N/A","Cameroun","",""
"586","STRIDES PHARMA CAMEROUN","","Infrastructure,  Healthcare","Cameroun","",""
"587","FILIERE BOIS SA","","FORESTIER","Cameroun","",""
"588","BRULERIE MODERNE","","Food and Drink","Cameroun","",""
"589","SOCIETE DE MARGARINERIE DU CAMEROUN SARL","MARGACAM","Food and Drink","Cameroun","",""
"590","GROUPE SEFAC SA","","FORESTIER","Cameroun","",""
"591","SATOM CAMEROUN","","Infrastructure,  Healthcare","Cameroun","",""
"592","BAKER HUGHES","","Energy and Oil & Gas","Cameroun","FOSSI DEMETRIUS",""
"593","RAZEL CAMEROUN","","Infrastructure,  Healthcare","Cameroun","MELANIE TCHANGA",""
"594","REGIE DU TERMINAL A CONTENEURS","RTC","Transport & leisure","Cameroun","",""
"595","LA PASTA SA","","Food and Drink","Cameroun","",""
"596","HORIZON PHYTO PLUS","","Other industry","Cameroun","",""
"597","FRIEDLANDER CAMEROUN","","Infrastructure,  Healthcare","Cameroun","",""
"598","ACIERS ET METAUX DIVERS SARL","AMD","Industrial manufacturing","Cameroun","",""
"599","CONSTRUCTION METALLIQUE","COMETAL","Technology, media & telecommunications","Cameroun","",""
"600","CELSON INDUSTRIES","","Infrastructure,  Healthcare","Cameroun","",""
"601","ROYAL CHIMIE SA","","Food and Drink","Cameroun","",""
"602","COMPLEXE MULTI INDUSTRIEL DU CAMEROUN","CMIC","Infrastructure,  Healthcare","Cameroun","",""
"603","COMPLEXE MULTI INDUSTRIEL DU CAMEROUN","CMIC","Infrastructure,  Healthcare","Cameroun","",""
"604","SAAGRY SARL","","Food and Drink","Cameroun","",""
"605","SAAGRY SARL","","Food and Drink","Cameroun","",""
"606","PERENCO CAMEROUN","PERCAM","Energy and Oil & Gas","Cameroun","PATRICK NDONGO",""
"607","PERENCO RIO DEL REY","PRDR","Energy and Oil & Gas","Cameroun","PATRICK NDONGO",""
"608","PARLITE FOODS","","Food and Drink","Cameroun","",""
"609","CARROSSERIE NOUVELLE DU CAMEROUN","CANOCAM","Food and Drink","Cameroun","",""
"610","SOCIETE DE PLANTATION DU HAUT PENJA","PHP","Food and Drink","Cameroun","",""
"611","LONGSTAR ENERGY CAMEROUN","","Energy and Oil & Gas","Cameroun","PATERNE BISSAY",""
"612","GRACEDOM INVEST S.A","","Consumer markets","Cameroun","Jacqueline DONGMO",""
"613","EXCELLENCE EQUIPMENT & MOTORS NGAOUNDERE SARL","","Energy and Oil & Gas","Cameroun","HASSAN Hariri",""
"614","SOCIETE MINIERE DE L'EST","SME","Energy and Oil & Gas","Cameroun","YOSSA NOUBEYO",""
"615","KIKOT-MBEBE HYDRO POWER COMPANY","KHPC","Energy and Oil & Gas","Cameroun","Marlène BIESSY",""
"616","OHADA","OHADA","Private Equity","Cameroun","",""
"617","MUTUELLE DES INSPECTEURS ET OFFICIERS DE DOUANE","MIOD","Project & NGO","Cameroun","",""
"618","SHOW OFF ASSURANCE","SOA","Insurance","Cameroun","",""
"619","TCHOUTCHUI DJONDI EPSE TANKEU BAYU Emilienne","","Other industry","Cameroun","TCHOUTCHUI DJONDI EPSE TANKEU BAYU Emilienne",""
"620","ARYSTA LifeScience","","Food and Drink","Cameroun","",""
"621","CFAO MOBILITY CAMEROON","CFAO","Miscellaneous","Cameroun","",""
"622","UNITED BANK FOR AFRIKA CAMEROUN S.A","UBA","Bank","Cameroun","",""
"623","MTN CAMEROON LTD","MTN","Technology, media & telecommunications","Cameroun","",""
"624","LABOREX CAMEROUN","LABOREX","Miscellaneous","Cameroun","",""
"625","ORANGE CAMEROUN","ORANGE","Technology, media & telecommunications","Cameroun","",""
"626","WAFACASH","","Other Financial services","Cameroun","",""
"627","TOTALENERGIES MARKETING CAMEROUN S.A","TOTAL","Energy and Oil & Gas","Cameroun","",""
"628","MAHIMA SARL","MAHIMA","Consumer markets","Cameroun","",""
"629","SOCIETE DE REPRESENTATION ET DE COMMERCE S.A","SOREPCO SA","Consumer markets","Cameroun","",""
"630","GUINNESS CAMEROUN SA","GCSA","Industrial manufacturing","Cameroun","Stéphane DESCAZEAUD",""
"631","COGENI CAMEROUN S.A","COGENI","Consumer markets","Cameroun","",""
"632","ADIALEA CAMEROUN S.A","ADIALEA","Miscellaneous","Cameroun","",""
"633","STE MAHIMA H SARL","","Consumer markets","Cameroun","",""
"634","3C CAMEROUN SAS","","Consumer markets","Cameroun","",""
"635","ESTIA SYNERGIE CAMEROUN","","Miscellaneous","Cameroun","",""
"636","ENEM CAMEROUN","ENEM","ENR - Power & Utilities","Cameroun","",""
"637","ENEM CAMEROUN","ENEM","ENR - Power & Utilities","Cameroun","",""
"638","ENEM CAMEROUN","ENEM","ENR - Power & Utilities","Cameroun","",""
"639","LANA BIO COSMETICS SARL","","Consumer markets","Cameroun","",""
"640","BERNABE CAMEROUN","","Consumer markets","Cameroun","",""
"641","AFRICA FINANCES","AFRI@FINAN","Bank","Cameroun","FACHEU BELMOND",""
"642","CFAO TECHNOLOGIES","CFAO","Miscellaneous","Cameroun","",""
"643","Projet de Mobilité Urbaine de Douala","PMUD","Project & NGO","Cameroun","",""
"644","Ministère des Domaines du Cadastre et des Affaires Foncières","MINDCAF","Project & NGO","Cameroun","",""
"645","TSG CAMEROUN S.A","","Energy and Oil & Gas","Cameroun","François BAFALAK",""
"646","DAFMA & FORTRANS","","Miscellaneous","Cameroun","Stéphane FOSSO",""
"647","CONGELES DU CAMEROUN S.A","CONGELCAM","Miscellaneous","Cameroun","",""
"648","ADDAX PETROLEUM CAMEROUN COMPANY S.A.","","Energy and Oil & Gas","Cameroun","",""
"649","GEODIS PROJECTS CAMEROON S.A","","Energy and Oil & Gas","Cameroun","",""
"650","DAVUM CAMEROUN S.A","DACAM S.A","Miscellaneous","Cameroun","",""
"651","ICRAFON","","Miscellaneous","Cameroun","",""
"652","CHOCOLATERIE CONFISERIE DU CAMEROUN","CHOCOCAM","Industrial manufacturing","Cameroun","",""
"653","LA CAMEROUNAISE D'IMPORTATION-ORCA SARL","LCI-ORCA","Miscellaneous","Cameroun","",""
"654","LA CAMEROUNAISE D'IMPORTATION-ORCA SARL","LCI-ORCA","Miscellaneous","Cameroun","",""
"655","ACTIVA CAMEROUN","","Insurance","Cameroun","",""
"656","AFRICA GLOBAL LOGISTICS","","Transport & leisure","Cameroun","",""
"657","3S MOTORS","","Miscellaneous","Cameroun","",""
"658","AFRICA PETROLEUM S.A","AP S.A","Energy and Oil & Gas","Cameroun","",""
"659","PRINCESSE VOYAGE","","Transport & leisure","Cameroun","",""
"660","GENERALIA ASSURANCE","","Insurance","Cameroun","",""
"661","CANAL + CAMEROUN","","Technology, media & telecommunications","Cameroun","",""
"662","CAPI CAMEROUN","","Miscellaneous","Cameroun","",""
"663","AFRICA SECURITY","","Insurance","Cameroun","",""
"664","AFRICA SECURITY CAMEROUN","","Miscellaneous","Cameroun","",""
"665","ACCESS BANK","ACCESS","Bank","Cameroun","",""
"666","MEN GROUP","","Transport & leisure","Cameroun","Wilfried EBANDA",""
"667","CALLENS CAMEROUN S.A","","Other industry","Cameroun","",""
"668","FOSTEMA TCHAD","","Other industry","Tchad","",""
"669","SCI PYRAMIDE","","Industrial manufacturing","Cameroun","",""
"670","MUTUELLE  FINANCE DES FEMMES DYNAMIQUE","","Bank","Cameroun","",""
"671","DOSSIER D' INPORTATION DU SUCRE","","Bank","Cameroun","",""
"672","J2N CONSEIL SARL","","Other Financial services","Cameroun","NOUTCHIE NJIKI Jackson",""
"673","AUTORITE DE L’AVIATION CIVILE DU TCHAD","ADAC","Project & NGO","Tchad","",""
"674","KAKOTEL S.A","KAKOTEL","Technology, media & telecommunications","Cameroun","",""
"675","CHINA HARBOUR ENGINEERING COMPANY LTD","CHEC","Miscellaneous","Cameroun","Emmanuelle LIU",""
"676","LONGSTAR","LONGSTAR","Miscellaneous","Cameroun","LONG HAI",""
"677","Office Régional Agricole et des Produits de Rente du Sud","ORAPROR","Government & public sector","Cameroun","DOUA Raymond",""
"678","Office Régional Agricole et des Produits de Rente du Sud","","Consumer markets","Cameroun","YOUMBI TETU JEAN DANIEL",""
"679","GROUPE KEDE SARL","","ENR - Power & Utilities","Cameroun","Madame NKOMBOU epse YOBA Ingrd Sophie Sandrne",""
"680","DAVINCI INVESTMENT GROUP SARL","","Bank","Cameroun","FOTSING Firmin Bouler",""
"681","AZA Finance","EXE TRANSF","Bank","Sénégal","",""
"682","SAMSON BILANGNA","","Other industry","Cameroun","SAMSON BILANGNA",""
"683","CAMEROON INTERNATIONALE TRADE SARL","","Consumer markets","Cameroun","ABDOUL Karim GNAGUELE",""
"684","SOLIDARITE MINIERE DU CAMEROUN","SOMCA","ENR - Mining","Cameroun","KUETE GUSTAVE",""
"685","SOLIDARITE MINIERE DU CAMEROUN","SOMCA","ENR - Mining","Cameroun","KUETE GUSTAVE",""
"686","BEST WIN S.A","BEST WIN","Other Financial services","Cameroun","",""
"687","CAMEROON INTERNATIONALE TRADE SARL 2","","Consumer markets","Cameroun","ABDOUL Karim GNAGUELE",""
"688","ARCHIBAT PLUS DESIGN","","Hôtellerie","Cameroun","Monsieur NJIOSSI Jean-Roger",""
"689","NOTICAM SA","","Energy and Oil & Gas","Cameroun","Monsieur Jules MANDJIA MOUICHE",""
"690","Advance Maritime Transport","AMT","Transport & leisure","Cameroun","Marcel BUERGI",""
"691","SOLIDARITE MINIERE DU CAMEROUN","SOMCA","N/A","Cameroun","KUETE GUSTAVE",""
"692","MOTOA TRANSPORT TRANSIT ET  SERVICES (MTTS)","MTTS","Miscellaneous","Cameroun","MDIBA SAID",""
"693","EVERWELL  CAMEROON CABLES AND ENGINEERING S.A","EWERWELL","Industrial manufacturing","Cameroun","DANIEL ZHANG LONGFANG",""
"694","CAMFISH","","Climate change/Water","Cameroun","EKENE BODO Cyrille",""
"695","SOCIETE INTERAFRICAINE DES PRODUITS PHARMACEUTIQUES ET PARAPHARMACEUTIQUES","SIAP","Miscellaneous","Cameroun","Dr Yolande DJOMO Epse MANE",""
"696","Société commerciale de Banque Cameroun","SCB","Bank","Cameroun","",""
"697","EVERWELL CAMEROUN CABLES and ENGINEERING SA","","ENR - Power & Utilities","Cameroun","Séraphin",""
"698","NGOLLE 4 ISSAC RICHARD","","Government & public sector","Cameroun","",""
"699","SOCIETE DE DISTRIBUTION ET DE NEGOCE INTERNATIONAL(SODISNI)","","Fast Moving Consumer Goods","Cameroun","",""
"700","FOBS","","Other industry","Cameroun","",""
"701","PETRO SERVICE & LOGISTIQUE SARL","PSL","Transport & leisure","Cameroun","",""
"702","MIA","","Other industry","Cameroun","",""
"703","SIGMA INC LTD","","Other industry","Cameroun","",""
"704","AMT CAMEROUN S.A","AMT","Energy and Oil & Gas","Cameroun","Marcel BUERGI",""
"705","SITRAB-CAM","","Other industry","Cameroun","",""
"706","COMPAGNY OF TRANSPORT AND FAIR TRADE","COTRAF","Transport & leisure","Cameroun","",""
"707","BRIGHT POINT LOGISTICS SARL","BRIGHT","Transport & leisure","Cameroun","",""
"708","OCEAN PETROLEUM SARL","OCEAN","Energy and Oil & Gas","Cameroun","",""
"709","ENGINE OIL COMPANY SA","ENGINE OIL","Energy and Oil & Gas","Cameroun","",""
"710","AFRICA VISION DEVELOPMENT SARL","AVD","Miscellaneous","Cameroun","",""
"711","ARTS ET METIERS SARL","","Miscellaneous","Cameroun","",""
"712","Etude Me Grâce NKAKE BOLLANGA","","Miscellaneous","Cameroun","Grâce NKAKE BOLLANGA",""
"713","MERMO OIL","","Energy and Oil & Gas","Cameroun","",""
"714","PATNUC","PATNUC","Project & NGO","Cameroun","",""
"715","MINSANTE","MINSANTE","Project & NGO","Cameroun","",""
"716","MINFI","MINFI","Project & NGO","Cameroun","",""
"717","CAMLAIT","Douala","Consumer markets","Cameroun","",""
"718","CONNECTION CAMEROUN","","Technology, media & telecommunications","Cameroun","",""
"719","SOCIETE AFRICAINE DE PROMOTION IMMOBOLIERE  SA","SAPI SA","Consumer markets","Cameroun","",""
"720","SAE","SAE","Miscellaneous","Cameroun","",""
"721","AUG ASSURANCES","AUG","Insurance","Cameroun","",""
"722","CAMLAIT SA","","Food and Drink","Cameroun","",""
"723","BANQUE INTERNATIONAL DU CAMEROUN POUR L'EPARGNE ET LE CREDIT","BICEC","Bank","Cameroun","Monsieur ROCHDI SANHAJI",""
"724","MERMO OIL","","Energy and Oil & Gas","Cameroun","",""
"725","Societé d'Expliotation Industrielle Agricole","SEIAC","Other industry","Cameroun","NYANGON BITA Olga",""
"726","MEN LOGISTICS SA","","Industrial manufacturing","Cameroun","",""
"727","MONSIEUR BAHA Robert","","Miscellaneous","Cameroun","MONSIEUR BAHA Robert",""
"728","EMRALD SECURITIES SERVICES BOURSE","ESS BOURSE","Other Financial services","Cameroun","Christian DIN DIKA",""
"729","IMPLANTS & SERVICES SARL","","Miscellaneous","Cameroun","Mr. Jean BAHEBECK",""
"730","NORBERT GWEM","","Infrastructure,  Healthcare","Cameroun","",""
"731","JL2M MULTISERVICES SARL","","Consumer markets","Cameroun","TETA Emmanuel",""
"732","AGROLOGISTIK SARL","","Food and Drink","Cameroun","NGUEN III Georges Ronald",""
"733","COMPLEXE CHIMIQUE D'AFRIQUE CENTRALE","C.C.A.C SA","Food and Drink","Cameroun","",""
"734","SOCOMAC SARL","","Industrial manufacturing","Cameroun","",""
"735","GANESHA CAMEROUN SARL","","Other industry","Cameroun","",""
"736","SODIPRAC SARL","","Other industry","Cameroun","",""
"737","GENERAL TRADING INTERNATIONAL","","Other industry","Cameroun","",""
"738","MEDICARE SARL","","Infrastructure,  Healthcare","Cameroun","",""
"739","BARYO INTERNATIONAL","","Infrastructure,  Healthcare","Cameroun","",""
"740","BARYO INTERNATIONAL","","Infrastructure,  Healthcare","Cameroun","",""
"741","INSTRUMELEC","","Industrial manufacturing","N/A","",""
"742","BIA CAMEROUN SA","","Other industry","N/A","",""
"743","ROUD'AF","","Infrastructure,  Healthcare","Cameroun","",""
"744","MC DISTRIBUTION","","Food and Drink","Cameroun","",""
"745","OLAM AGRI","","Food and Drink","Cameroun","",""
"746","SOGEA - SATOM","","Infrastructure,  Healthcare","Cameroun","",""
"747","CECOTRAM APPRO DISTRIBUTION","","Other industry","Cameroun","",""
"748","SEMAGRI SARL","","Food and Drink","Cameroun","",""
"749","SOCIETE SEVI SUARL","","FORESTIER","Cameroun","",""
"750","MIRA CEMENT","","Infrastructure,  Healthcare","Cameroun","",""
"751","SOCIETE FORESTIERE DU CAMEROUN","SOFOCAM","FORESTIER","Cameroun","",""
"752","SPEEDY WORLD WIDE SERVICES","S.W.S","Miscellaneous","Cameroun","",""
"753","SOLIDARITÉS INTERNATIONAL","SI","Project & NGO","Cameroun","",""
"754","ZTE INTERNATIONAL LIMITED","ZTE","Miscellaneous","Cameroun","",""
